TARGET_ID_1,TARGET_ID_2,DISTANCE
3.963315402100186e+16,3.963315401261214e+16,5.4623646360389735
3.963315402100186e+16,3.9633154004225016e+16,7.397767122096371
3.963315402100186e+16,3.963315400422264e+16,2.4483036218095617
3.963315402519363e+16,3.963313206801374e+16,6.552723065031101
3.9633136530752184e+16,3.963313650139518e+16,8.063481089001202
3.963316693106982e+16,3.963314531362525e+16,8.620813604677876
3.963314963375805e+16,3.963316261932666e+16,6.191849323530625
3.963314963375806e+16,3.96331453010447e+16,8.63742106342214
3.963313210156845e+16,3.963316263190795e+16,9.900969751754163
3.963313210576345e+16,3.96331321099576e+16,7.6363713318521125
3.963313208479178e+16,3.96331365223642e+16,3.177481791030387
3.963314966731487e+16,3.963314527168431e+16,4.450078775038555
3.963316263610238e+16,3.963313207640379e+16,8.809390497730007
3.963314526329477e+16,3.9633149646344e+16,8.32835911833025
3.963313650139461e+16,3.963314528426637e+16,8.156039354693645
3.96331626277126e+16,3.9633158311773384e+16,4.338996639411777
3.96331626277126e+16,3.9633158311773416e+16,9.742131537327467
3.96331626277126e+16,3.963311874271191e+16,6.419886192726217
3.9633158320164776e+16,3.963316692687546e+16,5.242435204355882
3.963312765980127e+16,3.963315830338711e+16,5.225896332239927
3.963312765980119e+16,3.963313209317982e+16,8.104872458043786
3.963312765980119e+16,3.96331232054518e+16,0.47337921299369445
3.963312765980113e+16,3.9633132088986184e+16,7.042025671377286
3.963312765980095e+16,3.9633132093180296e+16,9.859877464084294
3.963312765980095e+16,3.963314967570204e+16,8.655602816671442
3.963312765980095e+16,3.963313209737222e+16,7.136217710616218
3.963312765141186e+16,3.963312319706298e+16,9.145122335200238
3.963312765141182e+16,3.963316263190551e+16,9.740448085939985
3.963315399583454e+16,3.963315832435608e+16,9.170679706295264
3.963313206801259e+16,3.963312317189634e+16,8.149768079630265
3.963311870915586e+16,3.963314527168377e+16,2.982082052819503
3.96331320596254e+16,3.963312766819123e+16,8.668554284990897
3.963314528426522e+16,3.9633136526560696e+16,7.269719932251866
3.963315833274507e+16,3.96331320889851e+16,7.64431689650928
3.9633127651411896e+16,3.963312764302336e+16,6.428473041970071
3.9633127651411896e+16,3.963314962956377e+16,4.374383816822285
3.96331276598014e+16,3.963312765141059e+16,8.823301385405896
3.96331276598014e+16,3.963312320544938e+16,5.802594048317838
3.96331276598014e+16,3.9633118734319736e+16,2.1766327563591146
3.96331276723821e+16,3.963312317608975e+16,3.641468664146787
3.963314528426693e+16,3.963313210576343e+16,4.75928716926621
3.963315831177605e+16,3.963315830757897e+16,4.370281439643388
3.963315831177605e+16,3.9633162623519736e+16,9.902193126365255
3.963315831177571e+16,3.963313652656163e+16,4.743627175933346
3.963314527587541e+16,3.963311870915585e+16,7.772266375558954
3.963314527587541e+16,3.963313648042359e+16,9.939639350653614
3.963314527587541e+16,3.963314527587882e+16,6.312534797803882
3.963313210156956e+16,3.963314529684982e+16,9.956403611419558
3.9633132101568584e+16,3.963312766399566e+16,5.964166673185416
3.963315832435652e+16,3.963313650978139e+16,4.569939195179237
3.963313209318e+16,3.963312763882979e+16,9.02348376445191
3.963313209318e+16,3.963312319286806e+16,6.9459757924951395
3.963314528007191e+16,3.963313206801281e+16,8.309132749320378
3.963314528007191e+16,3.9633136493003176e+16,7.935594134462302
3.963312765141237e+16,3.963314967570271e+16,8.537950013360277
3.963312765141237e+16,3.963315398325327e+16,7.990795365041224
3.963315832016106e+16,3.963315831177596e+16,8.961749926939053
3.963315832016106e+16,3.963312763463313e+16,1.7390417457959026
3.963311873012877e+16,3.963313649720075e+16,9.508528796912572
3.9633123201255176e+16,3.963314967570148e+16,8.517586891880631
3.9633162631907656e+16,3.963311423802651e+16,4.042184261964279
3.9633162631907656e+16,3.963313652655898e+16,2.210706811934541
3.9633162631907656e+16,3.963314531362417e+16,6.620847784789953
3.96331276388311e+16,3.9633123213839064e+16,7.6253494441469
3.96331276388311e+16,3.963312766399566e+16,8.748546096937353
3.963313652236569e+16,3.963313652236462e+16,2.745946200376161
3.963312763882859e+16,3.9633132093178056e+16,3.2193915249865794
3.963312763882859e+16,3.963311872173988e+16,3.441503865226119
3.963312763882859e+16,3.9633132072206824e+16,3.88216428768539
3.963316263190794e+16,3.963314525910055e+16,9.601178211198388
3.963314091380083e+16,3.963311872173983e+16,8.161798251309273
3.963312762624685e+16,3.963312763044114e+16,2.5631701380057508
3.9633140909606376e+16,3.963314528426415e+16,4.964505939734922
3.9633140909606376e+16,3.963311872173892e+16,4.022750009698027
3.963314965892575e+16,3.9633158345327656e+16,4.594037410865587
3.9633127626247304e+16,3.963313207220762e+16,9.426359642124707
3.963314089282999e+16,3.963312320964533e+16,6.671910999886914
3.9633162640296184e+16,3.9633158328549624e+16,3.832647738795198
3.96331626402961e+16,3.96331539958353e+16,9.187989360323025
3.96331626402961e+16,3.963316264448926e+16,3.6774300840316942
3.96331626402961e+16,3.963312320545109e+16,3.8887138965190298
3.96331626402961e+16,3.963315832855022e+16,6.122948984549249
3.96331626402961e+16,3.963316264029653e+16,7.352052277899637
